URLLength,DomainLength,IsDomainIP,TLDLength,TLDLegitimateProb,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,CharContinuationRate,URLCharProb,IsHTTPS,HasValidSSL,HasHyphen,HasSuspiciousTLD,IsShortened,HasAtSymbol,HasDoubleSlash,label
36,27,0,3,0.52,26,0.7222,4,0.1111,0,0,0,0,0.0,1,0,0,0.0,0.8387,0.7027,1,1,0,0,0,0,0,0
39,31,0,3,0.52,28,0.7179,4,0.1026,0,0,0,0,0.0,2,0,0,0.0,0.8485,0.7,0,0,0,0,0,0,0,0
62,27,0,2,0.4,53,0.8548,0,0.0,0,0,0,2,0.0323,1,0,0,0.0,0.9815,0.8413,1,1,0,0,0,0,0,0
67,15,0,3,0.52,52,0.7761,2,0.0299,3,1,0,6,0.0896,0,0,0,0.0,0.9455,0.7647,1,0,0,0,0,0,0,0
59,12,0,3,0.52,30,0.5085,19,0.322,0,0,0,2,0.0339,0,0,0,0.0,0.6,0.5,0,0,0,0,1,0,0,0
46,37,0,3,0.52,36,0.7826,2,0.0435,0,0,0,2,0.0435,1,0,0,0.0,0.9231,0.766,1,1,1,0,0,0,0,0
144,51,0,3,0.15,116,0.8056,5,0.0347,0,0,0,6,0.0417,1,0,0,0.0,0.9508,0.8,1,0,1,0,0,0,0,0
32,24,0,2,0.4,25,0.7812,0,0.0,0,0,0,1,0.0312,1,0,0,0.0,0.9615,0.7576,0,1,1,0,0,0,0,0
92,19,0,3,0.52,50,0.5435,29,0.3152,0,0,0,4,0.0435,1,0,0,0.0,0.625,0.5376,1,1,0,0,1,0,0,0
86,13,0,3,0.52,45,0.5233,29,0.3372,0,0,0,4,0.0465,0,0,0,0.0,0.6,0.5172,1,0,0,0,0,0,0,0
97,23,0,3,0.52,54,0.5567,29,0.299,0,0,0,4,0.0412,1,0,0,0.0,0.6429,0.551,1,1,0,0,0,0,0,0
52,17,0,2,0.15,31,0.5962,12,0.2308,0,0,0,0,0.0,2,0,0,0.0,0.7045,0.5849,1,1,0,0,0,0,0,0
46,13,0,2,0.15,28,0.6087,10,0.2174,0,0,0,0,0.0,1,0,0,0.0,0.7179,0.5957,1,0,0,0,0,0,0,0
25,17,0,3,0.15,19,0.76,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.95,0.7308,0,1,0,0,0,0,0,0
